id,topic,characters,theme,video_type,target_minutes,narrator_pov,setting,audience,made_for_kids,script,title,description,status,video_url,created_at,scene_prompts,image_status,audio_status,youtube_status,youtube_video_id,video_file_path,error_message
ND-SH-001,A woman gets a video doorbell notification from a porch camera that was unplugged three years ago,the narrator,some things don't stop just because you disconnect them,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a quiet front porch at night,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-002,"A man finds his ex's name searched on his own laptop, except he never searched it","the narrator, his ex",the past doesn't always stay where you left it,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a small apartment late at night,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-003,"A babysitter hears the dad's voice on the baby monitor, except the parents are out of the country","the babysitter, the absent parents",some voices shouldn't be where they are,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a quiet suburban house at night,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-004,A woman replies 'delivered' to a text she never sent,the narrator,your phone remembers things you don't,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a bedroom late at night,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-005,A man's smart speaker starts greeting him by a name that isn't his,the narrator,something in the house knows a name he doesn't,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a modern apartment,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-006,"A woman discovers her best friend has been dating her husband for two years, and everyone knew but her","the narrator, her husband, her best friend",the last person to know is rarely the only one kept in the dark,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a suburban home,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-007,A man finds a second set of house keys in his coat pocket that fit no lock he owns,the narrator,not everything that fits in your pocket belongs to you,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a city apartment,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-008,"A woman's coworker takes credit for her work, until one email accidentally goes to the whole company","the narrator, the coworker",the truth has a way of cc-ing itself,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a corporate office,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-009,A man wakes up to a missed call from his own number at 3:14 in the morning,the narrator,some calls shouldn't be possible,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a dark bedroom,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-010,"A woman's husband swears he's working late, but the GPS history says otherwise every single night","the narrator, her husband",patterns don't lie even when people do,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a quiet home at night,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-011,"A man finds a photo on his phone he never took, of a room he's never been in",the narrator,your camera roll remembers what you don't,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a modern apartment,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-012,A woman discovers her sister has been forging her signature for five years,"the narrator, her sister",family is the easiest place to hide a lie,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a family home,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-013,"A man's car unlocks itself every night at the same time, alone in a locked garage",the narrator,some routines aren't yours to set,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a suburban garage at night,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-014,A woman finally confronts the friend who's been quietly sabotaging her for a decade,"the narrator, the friend",ten years is a long time to smile at someone,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a quiet cafe,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-SH-015,A man receives a single text from his late father's old phone number that simply says I'm still here,"the narrator, his late father",some numbers should have stayed disconnected,short,1,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a quiet home at night,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-HOR-001,A woman house-sitting a remote cabin notices the photos on the wall change slightly each night,"the house-sitter, the absent owners",what you stop questioning becomes what controls you,horror_story,18,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a remote cabin in the woods,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-HOR-002,A night-shift security guard at a storage facility starts hearing radio chatter from units that have been empty for years,"the guard, unseen voices on the radio",silence is not the same as empty,horror_story,18,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a storage facility at night,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-HOR-003,A family moves into a house where the smoke detectors chirp in a pattern that isn't a low battery,"the family, the house's previous occupants",some warnings aren't about what you think,horror_story,18,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a newly purchased suburban house,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-HOR-004,"A long-haul trucker keeps picking up the same hitchhiker on the same stretch of highway, on a route he's never driven before","the trucker, the hitchhiker",some roads remember who travels them,horror_story,18,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a remote highway at night,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-HOR-005,"A woman renting a lake house finds a logbook left by a previous tenant, with the final entry describing tonight, written years ago","the renter, the previous tenant",the past can write ahead of you,horror_story,18,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a remote lake house,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-HOR-006,A man inherits his grandmother's apartment and finds her still setting the table for two every evening on the building's old security footage,"the narrator, his late grandmother",habits can outlast the people who had them,horror_story,18,"an anonymous adult narrator, calm and a little tired, telling it after the fact",an old city apartment building,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-HOR-007,"A new night-shift nurse keeps getting the same patient transferred to her wing, except the room number doesn't exist on the floor plan","the nurse, the transferred patient",not every room is meant to be found,horror_story,18,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a hospital at night,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-HOR-008,A couple living on a houseboat start hearing footsteps on the deck that match nobody's gait but feel familiar,the couple,familiarity is not the same as safety,horror_story,18,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a houseboat on a quiet lake,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-HOR-009,A photographer hired to shoot an abandoned hotel finds one guest in every photo who was never there,"the photographer, an unseen guest",the camera sees what the eye is told to skip,horror_story,18,"an anonymous adult narrator, calm and a little tired, telling it after the fact",an abandoned hotel,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-HOR-010,"A woman moves back into her childhood home and finds her old diary, with entries written in her handwriting describing tonight","the narrator, her younger self",you can outgrow a house without it forgetting you,horror_story,18,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a childhood family home,general audience,FALSE,,,,IDEA,,,,,,,,,
ND-HOR-011,"A park ranger doing a winter closing shift keeps finding the same campsite reset overnight, exactly as it was the night someone went missing there","the ranger, a missing camper",some nights repeat until someone notices,horror_story,18,"an anonymous adult narrator, calm and a little tired, telling it after the fact",a remote campground in winter,general audience,FALSE,,,,IDEA,,,,,,,,,
